Gene ID: 17411
181	565	0.381786	0.999828
181	299	0.176056	0.000000
404	565	0.106266	0.000000
176	565	0.102222	0.000041
440	565	0.063500	0.000057
412	565	0.055925	0.000000
176	299	0.042376	0.000000
176	218	0.038968	0.000000
326	565	0.013251	0.000000
345	565	0.008042	0.000000
308	565	0.007871	0.000000
423	565	0.001301	0.000000
350	565	0.001246	0.000000
132	565	0.001190	0.000000
598	648	0.000000	0.000041
615	665	0.000000	0.000033
mdist=1.236231

Gene ID: 9929
249	345	0.607957	0.000000
249	421	0.356223	0.978125
253	345	0.012914	0.000000
253	421	0.007104	0.000000
361	421	0.004788	0.003706
260	345	0.002616	0.000000
347	421	0.001984	0.000072
292	345	0.001303	0.000000
260	421	0.001269	0.000000
215	283	0.000669	0.000434
365	421	0.000625	0.001067
345	421	0.000618	0.000000
249	292	0.000607	0.000000
331	421	0.000505	0.000000
292	421	0.000229	0.000000
215	345	0.000215	0.000000
356	421	0.000191	0.016415
215	421	0.000184	0.000000
167	283	0.000000	0.000181
mdist=1.277497

Gene ID: 19880
136	177	0.996112	0.000000
217	259	0.002371	0.000000
136	259	0.000634	0.000000
344	402	0.000280	0.000000
380	424	0.000134	0.000000
378	424	0.000100	0.000000
158	259	0.000084	0.000000
136	247	0.000078	0.000000
392	444	0.000060	0.000000
356	402	0.000043	0.000000
151	259	0.000034	0.000000
140	259	0.000025	0.000000
136	220	0.000024	0.000000
402	444	0.000021	0.000000
mdist=1.000000

Gene ID: 17537
216	266	0.500462	0.917252
372	422	0.336326	0.082748
351	422	0.074500	0.000000
351	400	0.055658	0.000000
594	655	0.013553	0.000000
345	422	0.010680	0.000000
345	400	0.006741	0.000000
521	563	0.001539	0.000000
216	422	0.000368	0.000000
544	655	0.000174	0.000000
mdist=0.833580

Gene ID: 13981
149	268	0.667665	0.000000
432	490	0.147076	0.000000
144	268	0.105134	0.000000
153	268	0.024901	0.000000
187	268	0.020950	0.000000
146	268	0.011088	0.000000
149	253	0.009042	0.000000
194	268	0.004523	0.000000
383	490	0.004423	0.000000
399	490	0.001778	0.000000
329	376	0.001296	0.000000
144	253	0.001151	0.000000
204	268	0.000973	0.000000
mdist=1.000000

Gene ID: 10307
283	340	0.465951	0.289738
437	523	0.402055	0.499740
437	483	0.058019	0.000025
283	334	0.019529	0.201984
441	523	0.019055	0.000000
283	322	0.014458	0.004530
437	653	0.012859	0.000000
437	567	0.003127	0.000946
441	483	0.002395	0.000000
483	523	0.000862	0.000000
129	186	0.000735	0.000000
441	653	0.000518	0.000000
127	186	0.000437	0.000000
60	246	0.000000	0.000008
76	355	0.000000	0.000000
177	356	0.000000	0.000000
181	406	0.000000	0.000000
185	218	0.000000	0.000001
185	376	0.000000	0.000000
186	370	0.000000	0.000001
188	379	0.000000	0.000000
203	247	0.000000	0.000001
204	391	0.000000	0.000001
205	355	0.000000	0.000009
205	391	0.000000	0.000073
205	421	0.000000	0.000001
208	391	0.000000	0.000001
