0.1599	0.0160	0.9975	0.0012	0.4607	0.9954	0.9033	0.9991	ch.10010
0.0376	0.9997	0.7961	0.9914	1.0000	0.0056	0.0063	0.9880	ch.10019
0.0755	0.9999	0.9967	0.9855	0.0005	0.9991	0.0019	0.0292	ch.10051
0.1750	0.9996	0.4321	0.0041	0.9958	0.0169	0.0065	0.0103	ch.10088
0.0161	0.9320	0.0112	0.9950	0.9289	0.0024	0.2051	0.9920	ch.10092
0.0000	0.3241	0.1240	0.5083	0.5524	0.5341	0.3546	0.3010	ch.10164
0.4741	0.6296	0.9992	0.9921	0.9982	0.0291	0.0551	0.9970	ch.10192
0.1066	0.9952	0.9968	0.9880	0.9888	0.1664	0.9992	0.0027	ch.10197
0.0000	0.0533	0.2974	0.7147	0.1147	0.3590	0.1545	0.0678	ch.10287
0.0000	0.7683	0.3885	0.5182	0.7516	0.0191	0.9042	0.9427	ch.10288
0.0000	0.7510	0.4956	0.6059	0.1761	0.1996	0.7852	0.9322	ch.10289
0.0042	0.0092	0.5426	0.6749	0.3537	0.8214	0.7089	0.7680	ch.10292
0.0000	0.3235	0.8610	0.6206	0.0666	0.7219	0.6878	0.7201	ch.10293
0.0348	0.4966	0.0042	0.9988	0.9846	0.9960	0.0013	0.9934	ch.10295
0.0064	0.9956	0.2018	0.9964	0.7520	0.0122	0.0007	0.1215	ch.10369
0.1193	0.9967	0.1279	0.9993	0.9953	0.0018	0.9966	0.8970	ch.10372
0.1673	0.9989	0.9964	0.0049	0.9939	0.9988	0.0003	0.9547	ch.10379
0.7728	0.9980	0.9971	0.2267	0.0009	0.9964	0.9999	0.0187	ch.10394
0.1501	0.9856	0.3610	0.7187	0.8499	0.9947	0.0063	0.9979	ch.10399
0.1363	0.9998	0.6425	0.1622	0.9995	0.0083	0.9966	0.0068	ch.10443
0.2414	0.9979	0.0398	0.9983	0.9976	0.1936	0.3115	0.9987	ch.10444
0.0000	0.1758	0.9417	0.2430	0.6223	0.4928	0.1719	0.2647	ch.10462
0.0025	0.9983	0.9910	0.8713	0.2763	0.7130	0.9927	0.0002	ch.10463
0.2688	0.9935	0.1317	0.0017	0.9954	0.0039	0.9975	0.0007	ch.10499
0.6538	0.9999	0.9954	0.0032	0.3628	0.9894	0.9999	0.0208	ch.10525
0.1460	0.9978	0.9938	0.3873	0.9983	0.9955	0.0032	0.1093	ch.1053
