# id	length	introns	RNAseq	isoforms
34926	396	1	137382	18	
3095	481	1	346144	34	
7781	548	1	348866	85	
37410	563	1	120907	88	
22244	463	1	20981400	95	
37407	535	1	150371	97	
5020	522	1	807866	111	
28536	524	1	554603	142	
1106	551	1	43834400	153	
20142	534	1	431647	159	
13559	550	1	109487	191	
4168	553	1	421472	211	
34776	594	1	112723	245	
35057	510	1	536211	247	
36353	535	1	149915	267	
406	594	1	824451	277	
9180	579	1	1479470	293	
35179	537	1	5547140	335	
336	648	1	682989	347	
46935	479	1	418741	369	
19777	670	1	518243	370	
43035	701	1	1826950	451	
19328	598	1	290673	471	
9165	584	1	292585	477	
45508	557	1	994753	507	
8885	598	1	5319370	524	
35062	593	1	3314360	539	
13617	545	1	1372690	549	
37333	622	1	116826	582	
38994	619	1	442722	600	
36447	538	1	29018400	617	
5021	532	1	383317	649	
28540	521	1	129516	670	
14389	570	1	122042	690	
45505	603	1	552692	743	
38499	722	1	769841	819	
14337	507	1	17176400	870	
42003	659	1	106710	872	
44413	585	1	3378800	872	
821	520	1	221986	885	
14911	637	1	190321	905	
17302	599	1	225111	946	
35061	617	1	591279	975	
10093	563	1	259185	979	
38754	542	1	173683	986	
35060	623	1	1521120	1007	
1757	616	1	2120170	1101	
34193	713	1	738921	1121	
33909	657	1	585992	1135	
13124	620	1	232434	1201	
37413	572	1	111841	1256	
35340	585	1	4415550	1363	
14004	591	1	407146	1375	
36507	720	2	101041	1385	
14480	691	1	2965700	1453	
44417	618	1	9983050	1499	
11327	571	1	546512	1502	
43674	531	1	560239	1518	
9533	740	2	745524	1527	
6293	674	2	299659	1661	
12763	656	2	2193660	1926	
9605	721	1	630349	2029	
19475	757	1	670343	2109	
9319	704	1	1086010	2163	
10364	694	1	1831880	2220	
26332	821	2	524406	2287	
43162	639	1	671190	2293	
20535	586	1	232028	2303	
22243	594	1	20981400	2305	
20476	719	1	679009	2586	
34600	677	1	682885	2597	
8546	548	1	505946	2680	
10555	613	1	901164	2703	
42240	689	1	133192	2705	
15195	669	1	463918	2710	
9508	621	1	1075180	2771	
10347	708	1	1268240	2845	
21369	693	1	537568	2956	
10133	600	1	539627	3025	
14910	573	1	203802	3064	
1560	816	1	360685	3215	
39371	683	2	154889	3244	
37677	674	1	142031	3255	
37850	592	1	3668820	3273	
13550	792	2	454313	3291	
