gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
2.172,0.5880,0.4024,0.0016,0.0189,0.6382,0.9992,0.9987,0.9979
2.232,0.5074,0.9923,0.9950,0.4520,0.9945,0.0459,0.8597,0.9969
1.213,0.0287,0.4609,0.0057,0.0024,0.9952,0.0046,0.0072,0.9990
2.292,0.6652,0.5890,0.0068,0.0002,0.9981,0.0027,0.0016,0.9911
1.337,0.6694,0.9939,0.9978,0.0118,0.0060,0.7411,0.0007,0.9988
1.336,0.7503,0.6099,0.9990,0.0051,0.9983,0.0790,0.0076,0.9995
2.148,0.7581,0.9300,0.9996,0.0002,0.0032,0.9995,0.9883,0.9901
1.254,0.7546,0.7720,0.9992,0.4550,0.9983,0.0080,0.4487,0.0093
3.20,0.5359,0.9873,0.9994,0.0024,0.2502,0.0207,0.9988,0.9952
1.100,0.5356,0.9950,0.9979,0.0006,0.9986,0.9944,0.9701,0.9881
2.244,0.8344,0.9938,0.9996,0.0033,0.8597,0.6006,0.9969,0.0042
3.12,0.0294,0.9800,0.6187,0.0057,0.9998,0.0044,0.8237,0.9937
2.35,0.3414,0.9965,0.9999,0.7479,0.9978,0.9986,0.9979,0.9914
1.15,0.0123,0.9991,1.0000,0.6182,0.9996,0.1614,0.0047,0.9997
2.18,0.0595,0.9956,0.6689,0.0778,0.9990,0.0043,0.7003,0.9983
1.394,0.6713,0.1563,0.9991,0.0024,0.9998,0.4091,0.0034,0.9921
1.29,0.5000,0.9965,0.9986,0.9998,0.9914,0.9925,0.9934,0.5925
1.132,0.3074,0.9996,0.9954,0.0008,0.2104,0.0020,0.5368,0.9923
2.266,1.0000,0.6341,0.9332,0.0233,0.4091,0.0351,0.8057,0.0921
1.293,0.6761,0.9978,0.9918,0.0053,0.0017,0.9915,0.9993,0.9981
1.240,0.5113,0.9981,0.0003,0.0021,0.7011,0.0007,0.0126,0.9997
3.53,0.7986,0.1229,0.9940,0.0839,0.4056,0.0026,0.0542,0.0273
1.396,1.0000,0.3598,0.3689,0.4791,0.3136,0.3279,0.9019,0.5061
2.167,0.7500,0.9943,0.9894,0.0023,0.2795,0.9862,0.9955,0.9827
3.2,0.2740,0.9942,0.9981,0.6400,0.9951,0.0043,0.9916,0.0421
1.459,1.0000,0.2506,0.0124,0.1061,0.2261,0.1010,0.6354,0.5712
2.71,0.3558,0.6297,0.9941,0.0010,0.5150,0.0073,0.0041,0.9987
2.100,0.5096,0.9958,0.6690,0.0545,0.9858,0.0069,0.0029,0.9978
1.186,0.5004,0.0017,0.7715,0.0011,0.9840,0.0061,0.0092,0.9972
1.410,0.7069,0.9969,0.2382,0.5396,0.9966,0.0180,0.8985,0.9928
2.175,0.5150,0.7016,0.9989,0.0002,0.0179,0.9984,0.9980,0.9985
2.222,0.5058,0.0348,0.9985,0.0015,1.0000,0.6403,0.0012,0.9988
2.117,0.6495,0.9910,0.9902,0.0032,0.9995,0.9999,0.2747,0.9969
2.5,0.2610,0.9286,0.0037,0.1820,0.6336,0.9985,0.8333,0.9958
3.50,0.4502,0.9976,0.9936,0.0014,0.0636,0.9993,0.9972,0.9734
4.6,0.2947,1.0000,0.5087,0.0018,0.9912,0.0015,0.9866,0.9878
3.49,0.7998,0.9886,0.7516,0.0025,0.1725,0.4752,0.0143,0.9853
1.355,0.6861,0.5747,0.9992,0.2380,0.0021,0.0122,0.0004,0.9986
2.53,0.3477,0.9902,0.9932,0.0053,0.6694,0.0037,0.7904,0.9954
1.486,1.0000,0.2477,0.8272,0.6297,0.4803,0.6013,0.2914,0.5673
1.453,0.9998,0.6317,0.2387,0.2081,0.7706,0.3355,0.3894,0.7570
2.283,0.8000,0.0044,0.9896,0.0097,0.9951,0.0676,0.9863,0.9644
2.115,0.5000,0.9350,0.9986,0.0002,0.9964,0.9998,0.9996,0.0018
1.136,0.5511,0.9992,0.9943,0.0017,0.0080,0.5035,0.8587,0.9942
1.346,1.0000,0.1053,0.0655,0.7489,0.4131,0.2058,0.3274,0.6510
1.41,0.2931,0.4172,0.2694,0.0005,0.8783,0.0030,0.0047,0.9961
2.293,0.3045,0.9990,0.0523,0.0036,0.0052,0.3229,0.0002,0.9997
3.31,0.6050,0.9980,0.9944,0.0013,0.0053,0.9834,0.7676,0.9996
2.239,0.5000,1.0000,0.9981,0.0018,0.9980,0.0011,0.0040,0.9986
1.263,0.6667,0.9973,0.9989,0.0010,0.0054,0.0044,0.0819,0.9823
1.488,0.7999,0.9924,0.0199,0.0003,0.7359,0.9991,0.0011,0.9979
2.217,0.6000,0.9966,0.9993,0.0038,0.9966,0.0081,0.9879,0.9883
1.236,0.0193,0.6960,0.6589,0.0020,0.9923,0.0825,0.0016,0.9968
1.397,0.6686,0.9177,0.9790,0.2591,0.0074,0.0261,0.1787,0.9989
1.285,1.0000,0.0743,0.8876,0.5710,0.5485,0.9090,0.3570,0.0109
1.479,1.0000,0.6794,0.0514,0.8932,0.9080,0.4643,0.6333,0.2904
2.201,0.6317,0.9953,0.0064,0.5390,0.9955,0.9964,0.9962,0.9884
2.133,0.5162,0.8015,0.6739,0.0022,0.5315,0.9997,0.6802,0.9973
1.147,0.0042,0.8691,0.5877,0.0023,0.9961,0.0033,0.0163,0.9977
3.37,0.2800,0.9977,0.9893,0.3987,0.2335,0.8961,0.3322,0.9935
1.278,0.6722,0.9951,0.0017,0.0004,0.9948,0.7817,0.9954,0.9981
2.6,0.3121,0.9905,0.9913,0.1760,0.4132,0.0243,0.9964,0.9880
1.78,0.0099,0.9874,0.9994,0.0017,0.9927,0.0127,0.0126,0.9962
1.70,0.0646,0.9998,0.9846,0.0024,0.2458,0.1855,0.4994,0.9999
1.246,0.1979,0.9981,0.8669,0.0044,0.9979,0.0015,0.0004,0.9975
2.68,0.2568,0.9795,0.9895,0.3274,0.9625,0.8036,0.0009,0.9970
2.63,0.5203,0.4223,0.0017,0.0013,0.7789,0.9958,0.9648,0.9971
2.128,0.7498,0.2604,0.9983,0.0018,0.0305,0.1360,0.0012,0.9996
2.161,0.5019,0.9794,0.9833,0.0047,0.8358,0.9979,0.7880,0.9911
2.238,0.6000,0.9903,1.0000,0.0020,0.9914,0.0716,0.9940,0.9997
1.13,0.3889,0.4998,0.0130,0.0002,0.5897,0.8952,0.0468,0.9949
1.233,0.6737,0.0453,0.9950,0.1115,0.0010,0.9895,0.3612,0.9972
1.463,0.8038,0.9947,0.2733,0.0013,0.9997,0.9998,0.9908,0.6843
1.416,0.7723,0.4912,0.6899,0.0004,0.0045,0.4531,0.0169,0.9974
2.247,0.9976,0.4352,0.9249,0.1421,0.3078,0.5910,0.4944,0.9362
1.317,0.6715,0.9877,0.9996,0.0003,0.9927,0.0078,0.0003,0.9698
1.523,1.0000,0.2568,0.8033,0.3162,0.9519,0.6077,0.8665,0.2669
2.36,0.4174,0.9896,0.9987,0.0019,0.0102,0.9976,0.9944,0.9982
1.230,0.0526,0.5946,0.8125,0.0007,0.9990,0.0005,0.0024,0.9978
3.65,0.7997,0.9991,0.9740,0.0015,0.9997,0.8485,0.0036,0.9988
3.25,0.6000,0.9950,0.9996,0.0078,0.2615,0.8302,0.9981,0.9986
1.244,0.5001,0.9914,0.6002,0.0082,0.9942,0.0014,0.0037,0.9931
1.519,1.0000,0.2721,0.8305,0.0764,0.3444,0.8188,0.2592,0.0123
1.73,0.2198,0.9847,0.4317,0.0080,0.4925,0.0975,0.0914,1.0000
2.109,0.3670,0.9993,0.9987,0.0015,0.0017,0.4719,0.9942,0.9969
1.138,0.6666,0.8823,1.0000,0.9838,0.9974,0.9273,0.9092,0.9381
2.275,0.8000,0.9932,0.9988,0.0101,0.9931,0.0043,0.0524,0.8524
2.287,0.8335,0.9897,0.8665,0.0049,0.4905,0.9974,0.0009,0.1656
1.361,1.0000,0.9978,0.1943,0.2472,0.9429,0.6909,0.5863,0.5952
1.16,0.0248,0.9922,0.9952,0.0029,0.9983,0.0057,0.7769,0.9953
1.80,0.2095,0.5737,0.0043,0.0016,0.9996,0.0159,0.8856,0.9971
1.307,1.0000,0.1350,0.4906,0.3845,0.4388,0.1116,0.7176,0.3260
2.194,0.5120,0.9895,0.9940,0.0001,0.0054,0.3878,0.0021,0.9990
1.206,0.5343,0.6014,0.9912,0.1980,0.9996,0.0050,0.0014,0.9987
1.214,0.1962,0.7215,0.9937,0.0274,0.9975,0.3079,0.0103,0.9969
1.433,0.9996,0.9859,0.6509,0.7843,0.9560,0.1006,0.1775,0.5387
2.81,0.5056,0.9932,0.9261,0.3567,0.9975,0.9961,0.9970,0.9993
2.118,0.5067,0.2381,0.9989,0.0044,0.9962,0.9996,0.1812,0.9860
1.272,0.5018,0.3949,0.7732,0.0046,0.9984,0.2588,0.0030,0.9949
1.238,0.0328,0.7140,0.9939,0.0156,0.9875,0.0010,0.0038,0.9973
2.112,0.6099,0.3927,0.9973,0.0002,0.8506,0.0080,0.0078,0.9948
3.55,0.6118,0.7454,0.0470,0.1509,0.9974,0.9848,0.9949,0.9845
2.34,0.5090,0.9967,0.9982,0.4789,0.9999,0.9968,0.9999,0.9981
1.22,0.2464,0.9974,0.9997,0.0754,0.9934,0.0019,0.9989,0.9951
2.1,0.0705,0.6689,0.9995,0.4040,0.3416,0.9961,0.0011,0.0850
2.158,0.9987,0.0412,0.1462,0.0127,0.0022,0.0007,0.0029,0.0029
1.145,0.6121,0.9058,0.9916,0.1329,0.6461,0.9980,0.0200,0.9966
2.296,0.8055,0.9994,0.0051,0.0530,0.0011,0.6214,0.0022,0.9976
3.19,0.3336,0.9950,0.9996,0.0009,0.9556,0.0032,0.9934,0.9958
3.6,0.4996,0.9958,0.9992,0.6281,0.9974,0.9931,0.9992,0.9949
1.124,0.5781,0.6744,0.8841,0.0949,0.9881,0.9929,0.9991,0.9856
1.8,0.0734,0.7710,0.8090,0.0063,0.9991,0.0087,0.0073,0.9955
1.210,0.0490,0.1727,0.6394,0.0048,0.9987,0.0075,0.0026,0.9960
2.127,0.7522,0.9976,0.6202,0.0032,0.0023,0.2445,0.9958,0.9957
1.30,0.0590,0.9327,0.9968,0.0021,0.9980,0.0088,0.0030,0.9897
1.388,0.8013,0.6490,0.9901,0.9816,0.0021,0.9780,0.9824,0.9992
3.17,0.2657,0.9982,0.9946,0.1601,0.9942,0.9968,0.9966,0.9876
2.55,0.5411,0.6334,0.9865,0.0029,0.3714,0.9395,0.0032,0.9917
1.362,1.0000,0.0997,0.3967,0.8871,0.1205,0.9343,0.9187,0.9805
1.51,0.1672,0.5025,0.9995,0.0027,0.3573,0.7971,0.0175,0.9939
2.179,0.7516,0.9909,0.6984,0.0004,0.0010,0.0009,0.3068,0.9996
2.136,0.5307,0.8291,0.9957,0.2646,0.6511,0.9981,0.4123,0.9958
1.97,0.4211,0.9962,0.1123,0.0014,0.9952,0.0014,0.0134,0.9991
1.525,1.0000,0.1676,0.6840,0.0784,0.4208,0.5380,0.9626,0.8733
1.535,0.8031,0.9987,0.9899,0.8884,0.0124,0.9939,0.0049,0.9956
2.60,0.6049,0.9898,0.6142,0.2123,0.6261,0.1878,0.8401,0.9981
2.285,0.3326,0.9973,0.9993,0.0008,0.3176,0.0034,0.0069,0.9826
1.275,0.7062,0.9986,0.9891,0.0030,0.9917,0.9938,0.6556,0.9985
2.213,0.5752,0.9922,0.9946,0.0031,0.2164,0.0099,0.9997,0.9998
1.255,0.6003,0.4767,0.1378,0.3485,0.9949,0.3148,0.0076,0.9887
1.477,1.0000,0.9954,0.4981,0.3401,0.2976,0.2614,0.8645,0.4111
2.77,0.4986,0.1306,0.0028,0.0318,0.8793,0.0028,0.0007,0.9993
1.302,0.6978,0.9977,0.9910,0.7266,0.9982,0.0067,0.0030,0.8691
1.313,0.6825,0.9980,0.9977,0.0020,0.0117,0.0013,0.0004,0.9945
1.231,0.5739,0.3028,0.9967,0.0006,0.5216,0.5810,0.5986,0.9921
1.368,0.6698,0.9983,0.9997,0.3626,0.0063,0.0007,0.9958,0.9945
1.190,0.5084,0.3985,0.3422,0.0010,0.9931,0.0103,0.0031,1.0000
1.54,0.0270,0.9949,0.9991,0.5907,0.9982,0.0259,0.9960,0.9941
1.40,0.0520,0.9982,0.8715,0.0031,0.9974,0.0061,0.0002,0.9946
2.85,0.6905,0.9956,0.9939,0.3166,1.0000,0.0138,0.0062,0.9915
1.270,0.7410,0.9911,0.9989,0.0034,0.0059,0.0155,0.0105,0.9984
2.104,0.8000,0.9931,0.8195,0.9379,0.0263,0.9883,0.0268,0.9989
1.111,0.5418,0.9949,0.9972,0.0197,0.9948,0.9979,0.9865,0.9937
2.21,0.3691,0.9981,0.9964,0.0007,0.0015,0.5943,0.9994,0.9947
1.64,0.3600,0.7307,0.9830,0.0005,0.2887,0.1548,0.0074,0.9863
2.221,0.5012,0.9620,0.9975,0.0032,0.9912,0.9826,0.9847,0.9944
1.192,0.0046,0.9958,0.9953,0.0050,0.7604,0.9303,0.0141,0.9389
1.248,0.7317,0.9974,0.9924,0.0041,0.9984,0.0002,0.0076,0.9449
2.260,0.8088,0.4310,0.4747,0.0100,0.9759,0.4967,0.9968,0.9987
2.129,0.4540,0.9961,0.9992,0.0004,0.4471,0.0128,0.0674,0.9968
1.415,1.0000,0.3928,0.3220,0.1451,0.4996,0.3362,0.4731,0.6685
2.234,0.7500,0.9993,0.9988,0.0128,0.9988,0.0018,0.0053,0.9916
1.59,0.4919,0.6212,0.5666,0.0138,0.9984,0.9991,0.0801,0.9814
1.496,1.0000,0.0473,0.4183,0.8164,0.8251,0.4483,0.9720,0.5778
2.173,0.2983,0.9964,0.9962,0.0053,0.0026,0.0727,0.0061,0.9995
1.253,0.7502,0.9987,0.9604,0.0047,0.1623,0.5384,0.0033,0.9945
3.69,0.6671,0.9986,0.9955,0.0082,0.5906,0.9985,0.9902,0.9762
1.167,0.5210,0.0008,0.9891,0.0054,0.9970,0.0070,0.2726,0.9933
1.7,0.0047,0.9938,0.9994,0.9973,0.9961,0.0035,0.6950,0.9975
1.297,0.6709,0.9956,0.5971,0.0112,0.9986,0.1656,0.0065,0.9941
3.35,0.5787,0.4169,0.9969,0.0932,0.0055,0.3881,0.4212,0.0020
1.258,0.6879,0.5868,0.9942,0.0047,0.9692,0.0598,0.0011,0.9995
1.534,1.0000,0.0578,0.4566,0.5175,0.4969,0.3916,0.4636,0.1983
1.161,0.5370,0.9956,0.9970,0.0546,0.0044,0.9976,0.0091,0.9989
1.11,0.5023,0.9985,0.9989,0.4470,0.9879,0.9979,0.9990,0.9678
2.199,1.0000,0.2463,0.9422,0.3088,0.5681,0.2837,0.6313,0.2122
1.544,1.0000,0.8805,0.7271,0.7513,0.2041,0.4346,0.3791,0.2366
1.282,1.0000,0.7111,0.4534,0.1373,0.2758,0.1103,0.9322,0.4711
3.0,0.4293,0.7131,0.9973,0.3020,0.2866,0.9932,1.0000,0.9996
1.531,0.7409,0.9937,0.9982,0.0021,0.9964,0.0026,0.0195,0.9990
1.28,0.7006,0.9976,0.0029,0.0050,0.2367,0.3272,0.9907,0.9976
2.218,0.6000,0.9926,0.9868,0.0090,0.0398,0.9988,0.9973,0.9922
2.141,0.5596,0.9947,0.9914,0.0007,0.9980,0.0431,0.9927,0.0376
1.12,0.4722,0.4126,0.9371,0.0252,0.6112,0.9983,0.4269,0.9963
1.470,0.8851,0.0133,0.4265,0.0411,0.9916,0.3577,0.0030,0.9833
2.51,0.3342,0.9904,0.9980,0.1478,0.9978,0.9964,0.9955,0.9916
1.294,0.9114,0.0072,0.9851,0.0019,0.4010,0.4515,0.0146,0.9941
1.465,0.9903,0.7321,0.5145,0.1012,0.6022,0.4605,0.1171,0.6287
1.504,0.9950,0.8884,0.6222,0.1836,0.2788,0.7629,0.2446,0.0459
3.40,0.7570,0.9982,0.5315,0.0056,0.6128,0.9682,0.2822,0.9945
2.193,0.8000,0.7772,0.9967,0.0007,0.9968,0.5011,0.0061,0.9918
2.195,0.6518,0.9951,0.0014,0.0040,0.2796,0.0227,0.0023,0.9956
1.528,0.6614,0.9918,0.4484,0.0032,0.9971,0.9955,0.0038,0.9994
1.344,0.7505,0.9960,0.9814,0.8347,0.9989,0.9965,0.0070,0.9936
2.181,0.5000,0.9937,0.9996,0.0025,0.7207,0.0124,0.9970,0.8939
2.159,0.3436,0.9953,0.9922,0.3953,0.9960,0.9768,0.2532,0.9940
1.89,0.1251,0.9996,0.9832,0.0026,0.6718,0.0078,0.0075,0.9947
1.475,1.0000,0.4160,0.6719,0.5616,0.5868,0.8961,0.1253,0.3863
1.503,0.9991,0.2779,0.4631,0.1069,0.1005,0.0127,0.0578,0.3045
2.263,0.6006,0.1086,0.9970,0.0052,0.9966,0.5199,0.1003,0.9970
1.38,0.0521,0.9991,0.9884,0.0019,0.0013,0.0013,0.0725,0.9906
1.432,0.7514,0.9994,0.4865,0.0005,0.5860,0.6283,0.0041,0.9993
1.412,0.7509,0.9910,0.9328,0.0010,0.9994,0.6942,0.8806,0.9968
1.143,0.0181,0.9998,0.4382,0.0002,0.9955,0.0053,0.0068,0.9827
2.44,0.3751,0.9687,0.9955,0.0089,0.9997,0.0136,0.7053,0.9972
1.164,0.5070,0.2141,0.1545,0.0057,0.9893,0.0011,0.0891,0.9977
2.83,0.3253,0.9147,0.9965,0.0029,0.0101,0.0078,0.0098,0.9994
1.251,0.9999,0.7203,0.7560,0.0808,0.2403,0.4681,0.6438,0.0717
1.162,0.3133,0.6003,0.1621,0.0031,0.1327,0.0101,0.0027,0.9924
1.261,0.6667,0.9871,0.3017,0.0014,0.9898,0.0043,0.0002,0.9999
1.279,1.0000,0.9269,0.3282,0.0221,0.6929,0.3488,0.4478,0.1433
1.260,0.8245,0.9995,0.9963,0.1658,0.2738,0.0016,0.0080,0.9974
3.16,0.5001,0.9913,0.9998,0.0066,0.9936,0.0805,0.0005,0.9984
3.43,0.8000,0.9900,0.0006,0.0006,0.4029,0.0007,0.0043,0.9892
1.309,0.5000,0.4157,0.9988,0.0051,0.9980,0.0026,0.0014,0.9922
2.155,0.5010,0.9979,0.9950,0.9384,0.9965,0.9938,0.6588,0.9968
2.163,0.8023,0.9959,0.9996,0.1862,0.0184,0.7961,0.0010,0.9997
1.464,0.9974,0.3974,0.4647,0.0592,0.4167,0.1350,0.5555,0.7448
2.124,0.8062,0.9914,0.0127,0.0024,0.0636,0.9985,0.9868,0.9882
2.107,0.7504,0.9365,0.9961,0.2024,0.2417,0.9974,0.0046,0.9984
1.137,0.0342,0.9956,0.9981,0.0061,0.6282,0.0026,0.0024,0.9984
2.49,0.6665,0.3548,0.9919,0.0123,0.0013,0.9990,0.0065,0.9969
2.259,0.7056,0.6392,0.0623,0.0070,0.0018,0.1658,0.9986,0.9980
2.67,0.6668,0.0036,0.9858,0.0028,0.9976,0.6793,0.0491,0.9976
1.227,0.5199,0.2161,0.9980,0.0590,0.0033,0.0015,0.0004,0.9945
1.168,0.5046,0.9981,0.9975,0.0021,0.9921,0.0061,0.1713,0.9993
1.305,0.9999,0.7550,0.9252,0.1593,0.6153,0.6435,0.4383,0.1487
3.30,0.3907,0.9430,0.6724,0.0052,0.9960,0.2672,0.0053,0.9990
1.406,1.0000,0.0852,0.8266,0.5824,0.4909,0.9327,0.0997,0.4222
1.217,0.5147,0.9946,0.9984,0.0040,0.9992,0.5481,0.0032,0.9870
1.44,0.5054,0.9984,0.9971,0.4405,0.9976,0.9959,0.9996,0.9980
3.46,0.2772,0.9978,0.9960,0.0114,0.9909,0.5425,0.0617,0.9875
1.208,1.0000,0.2559,0.1124,0.1316,0.1017,0.0627,0.2176,0.3132
1.117,0.2749,0.9981,0.9272,0.0052,0.3449,0.0010,0.4709,0.9996
1.135,0.0189,0.9989,0.9304,0.0012,0.9909,0.0002,0.0004,0.9983
3.45,0.2720,0.9812,0.4893,0.0010,0.9989,0.9993,0.9980,0.9612
2.208,0.5159,0.1737,0.9978,0.0051,0.9985,0.5502,0.9955,0.9893
2.139,0.5447,0.9937,0.9982,0.0031,0.6932,0.9989,0.9993,0.9981
1.103,0.7830,0.9961,0.0048,0.9981,0.0060,0.9922,0.3462,0.9951
1.53,0.0617,0.9995,0.9942,0.0054,0.2356,0.0006,0.7109,0.9997
1.358,0.7530,0.9980,0.9995,0.4519,0.9399,0.0002,0.0078,0.9931
3.5,0.1673,0.9907,1.0000,0.0368,0.6446,0.3556,0.0057,0.9917
2.114,0.5005,0.9869,0.9947,0.0021,0.0600,0.2797,0.0084,0.9912
1.184,0.6332,0.0006,0.4386,0.0053,0.9981,0.5293,0.3906,0.9982
1.331,0.6763,0.9954,0.9915,0.0068,0.0487,0.0028,0.0008,0.9933
2.227,0.6404,0.1804,0.4687,0.0223,0.3600,0.0084,0.0087,0.9964
1.299,0.6757,0.3981,1.0000,0.0048,0.9965,0.0035,0.0028,0.9880
1.42,0.0417,0.6705,0.9941,0.1373,0.8138,0.0181,0.0436,0.9933
2.200,0.6114,0.5674,0.9920,0.3510,0.9977,0.0112,0.0025,0.3225
2.233,0.8069,0.0048,0.9981,0.0003,0.9999,0.0008,0.5882,0.9968
2.286,0.8001,0.9804,0.9768,0.0023,0.9912,0.2582,0.0185,0.9971
1.295,0.5007,0.0013,0.0052,0.0047,0.9989,0.0072,0.6401,0.9993
1.256,0.6915,0.9829,0.9993,0.0024,0.1404,0.8435,0.0093,0.9872
1.116,0.0176,0.9988,0.9811,0.0095,0.7943,0.0067,0.0008,0.9877
1.232,0.5073,0.9975,0.5218,0.0057,0.8692,0.0046,0.0012,0.9937
3.54,0.6735,0.9950,0.9944,0.3544,0.5417,0.3129,0.1790,0.9960
1.378,0.9967,0.4203,0.8090,0.0413,0.6183,0.8802,0.7715,0.3270
2.64,0.3369,0.7990,0.9968,0.0025,0.1310,0.9977,0.0028,0.9929
1.114,0.2251,0.8947,0.9920,0.0036,0.6721,0.0032,0.1712,0.9988
3.28,0.2999,0.9892,0.9992,0.0003,0.5974,0.6289,0.8623,0.9948
2.65,0.2445,0.9968,0.9964,0.0333,0.3855,0.0015,0.0002,0.9987
2.289,0.9998,0.9841,0.4868,0.0187,0.8498,0.7772,0.9345,0.6978
3.8,0.5000,0.2758,0.0015,0.0035,0.9927,0.9974,0.2863,0.9989
2.47,0.3344,0.9987,0.9893,0.0029,0.9971,0.8895,0.9980,0.9958
1.142,0.5000,0.0050,0.9978,0.0000,0.9920,0.0235,0.0214,0.9957
1.27,0.0066,0.9988,0.9969,0.0024,0.9986,0.3945,0.9904,0.9960
1.334,1.0000,0.2573,0.5486,0.0927,0.0504,0.3805,0.9068,0.9293
1.74,0.0313,0.9945,0.7504,0.0011,0.9919,0.5320,0.0643,0.9923
1.131,0.5037,0.9881,0.9993,0.4080,0.9189,0.9969,0.9916,0.9961
1.17,0.0182,0.9991,0.0116,0.0035,0.9999,0.0015,0.0083,0.9989
1.252,0.6742,0.9972,0.9956,0.9961,0.1043,0.8602,0.0155,0.9996
1.315,1.0000,0.7261,0.1610,0.8182,0.4040,0.0806,0.0195,0.0587
2.56,0.7500,0.1326,0.9766,0.0031,0.9925,0.6223,0.9770,0.3684
2.116,0.5002,0.1028,0.9981,0.0009,0.9585,0.0611,0.9862,0.9998
1.223,0.5146,0.5399,0.0114,0.0014,0.9962,0.0022,0.8904,0.9933
1.391,0.9989,0.1698,0.0082,0.3880,0.0165,0.0481,0.2347,0.3399
1.380,0.8531,0.2912,0.5074,0.0132,0.7610,0.7468,0.9991,0.0080
1.65,0.2617,0.9942,0.8745,0.0035,0.0023,0.0003,0.0826,0.9975
1.185,0.5553,0.9937,0.9965,0.3640,0.1847,0.0015,0.0019,0.9996
2.43,0.3600,0.9992,0.9984,0.3362,0.8286,0.2921,0.9954,0.9990
2.182,0.7509,0.9974,0.0015,0.7360,0.0066,0.0041,0.0002,0.9994
1.225,0.6162,0.4899,0.5965,0.0049,0.0001,0.0038,0.0029,0.9942
2.160,0.5134,0.8374,0.6073,0.0023,0.0104,0.9944,0.2073,0.9971
2.32,0.3272,0.9963,0.5152,0.0029,0.1090,0.8644,0.8267,0.9986
1.447,0.9999,0.4307,0.4807,0.1407,0.9635,0.2918,0.3462,0.8720
2.80,0.0757,0.9981,0.4951,0.0112,0.9877,0.0009,0.0128,0.9954
1.75,0.0607,0.9993,0.9984,0.7551,0.9923,0.2445,0.7297,0.9982
1.425,0.9984,0.1948,0.7751,0.7333,0.6524,0.3643,0.4923,0.0776
2.241,0.7993,0.9924,0.9975,0.0021,0.9976,0.9948,0.0002,0.9914
1.359,0.6033,0.9976,0.9987,0.0123,0.9986,0.8152,0.0065,0.0089
1.456,0.7508,0.9927,0.6679,0.0554,0.9983,0.8012,0.9945,0.9956
1.268,0.6795,0.9984,0.9997,0.0004,0.3144,0.0026,0.0042,0.9954
2.130,0.4984,0.7649,0.0094,0.0093,0.9851,0.9983,0.0060,0.9975
2.270,0.9949,0.1436,0.2328,0.0928,0.3314,0.0052,0.0056,0.9994
2.76,0.5010,0.9993,0.9937,0.5286,0.9949,0.2274,0.9977,0.9845
2.197,0.5000,0.9963,0.9935,0.0048,0.9816,0.9605,0.0072,0.9917
1.483,0.8026,0.5057,0.9930,0.0047,0.9987,0.0017,0.9995,0.9946
1.320,0.6809,0.9972,0.4051,0.0034,0.0039,0.0103,0.0033,0.9965
1.349,0.9892,0.5286,0.0052,0.0840,0.6597,0.9988,0.0036,0.0106
1.509,1.0000,0.0301,0.4346,0.2147,0.9112,0.9532,0.8316,0.1343
1.308,0.6667,0.9925,0.9993,0.0316,0.8044,0.9993,0.9973,0.9979
2.205,0.9440,0.0025,0.1038,0.0523,0.5756,0.1486,0.9996,0.0351
1.518,0.8102,0.9945,0.9892,0.0049,0.9930,0.9814,0.0033,0.0029
1.420,0.9998,0.7119,0.6144,0.0304,0.3464,0.0849,0.1215,0.4604
1.173,0.5478,0.9941,0.9926,0.0061,0.0633,0.5405,0.9973,0.9991
2.242,0.7985,0.3759,0.8534,0.0105,0.0018,0.2102,0.0065,0.9995
1.499,0.8000,0.9856,0.7712,0.0015,0.6247,0.9972,0.0011,0.9968
1.480,0.8007,0.9978,0.0024,0.5206,0.3847,0.9952,0.9935,0.9994
1.239,0.9698,0.0154,0.0044,0.1013,0.2318,0.2719,0.9985,0.9949
1.259,1.0000,0.8879,0.2185,0.1474,0.8703,0.5946,0.9956,0.1569
1.306,0.7500,0.9998,0.9991,0.0022,0.8483,0.9889,0.0002,0.9929
1.9,0.2633,0.4242,0.5999,0.0500,0.0002,0.0054,0.1606,0.9966
1.304,0.6764,0.4135,0.9927,0.0059,0.1260,0.9833,0.0005,0.9933
1.39,0.0924,0.8873,0.9978,0.0020,0.9998,0.0034,0.0214,0.9952
1.286,0.5329,0.3378,0.9912,0.0160,0.1950,0.2865,0.0047,0.9947
3.24,0.2878,0.5868,0.9875,0.0006,0.1185,0.0866,0.0092,0.9988
2.186,0.6562,0.9895,0.9967,0.0034,0.9938,0.8916,0.0154,0.9319
2.290,0.6860,0.3880,0.4263,0.0039,0.9956,0.1060,0.0032,0.0051
1.150,0.5039,0.9968,0.9977,0.0003,0.0003,0.0178,0.0001,0.9983
1.326,1.0000,0.7274,0.3364,0.1628,0.6823,0.5127,0.1311,0.3444
1.66,0.4207,0.9993,0.6296,0.3744,0.9990,0.0014,0.8000,0.9865
1.404,0.9998,0.7131,0.5323,0.2742,0.0629,0.3208,0.1213,0.2475
1.411,0.7500,0.6466,0.9826,0.0031,0.9860,0.9981,0.1660,0.9885
3.38,0.6127,0.9972,0.9983,0.0005,0.1204,0.5139,0.9891,0.9549
1.498,1.0000,0.3660,0.7816,0.7260,0.9156,0.0910,0.6650,0.8404
2.257,1.0000,0.1883,0.3510,0.8115,0.7901,0.2309,0.9886,0.2370
1.121,0.2396,0.9949,0.8462,0.0054,0.0093,0.0027,0.0048,0.9809
