36422	908	39	34	776826	1.26
45744	987	41	42	1526673	2.76
12218	1135	39	67	5345659	11.13
14640	1105	25	40	455213	0.69
35662	1180	75	41	7268309	15.65
9521	815	35	46	842879	1.63
9733	823	24	26	33391	0.08
10771	938	32	31	115043	0.28
37063	1113	45	46	5054432	9.26
11214	608	20	28	4841	0.04
1106	551	19	21	153	0.02
36940	1008	40	35	1042005	1.76
37714	686	19	30	17773	0.06
6662	1103	51	39	1794823	3.69
38621	774	28	25	50738	0.12
2168	1137	32	43	570667	1.02
14519	859	28	17	10423	0.04
13188	796	26	39	59923	0.21
10029	946	43	49	1869157	3.64
44999	813	41	39	735887	1.46
7542	1054	36	41	1059525	1.71
12774	752	27	26	50904	0.13
19861	818	33	28	74401	0.21
36960	690	14	21	4539	0.02
35938	1190	55	63	17225488	35.42
8885	598	17	18	524	0.02
1230	977	40	29	467067	0.81
12993	1067	35	45	1039681	1.79
45508	557	20	12	507	0.02
91	857	30	50	331002	0.93
37875	619	24	13	3895	0.02
11633	971	49	48	5075118	8.82
19200	813	28	26	21645	0.09
13865	1015	34	37	955957	1.44
1752	598	17	32	3878	0.04
9092	994	30	41	450963	0.80
35931	787	30	33	163678	0.35
20511	1197	35	78	4204485	10.11
35061	617	20	14	975	0.02
1736	1059	46	39	525257	1.48
7303	1179	48	56	8599499	15.02
36153	745	24	15	5298	0.03
13765	1135	44	51	4071466	7.44
12760	795	31	25	17891	0.09
47109	1049	55	56	5333748	12.40
3023	998	42	49	2597236	4.84
39979	1109	43	54	3867525	6.93
11165	693	19	26	5165	0.04
11987	934	37	45	1450191	2.42
45212	901	42	25	317240	0.56
1578	703	12	28	3611	0.02
45905	620	25	22	14603	0.06
21369	693	17	24	2956	0.02
44310	705	24	23	15569	0.05
42412	829	26	36	171530	0.34
14616	1025	42	31	651513	1.08
13432	817	33	43	351569	0.82
8899	1085	40	66	2482377	6.70
10052	1109	45	49	3469696	5.94
35057	510	13	17	247	0.01
822	1109	37	54	2761925	4.62
8247	1158	60	57	10307171	22.22
12318	1171	45	60	4995518	10.43
35328	1194	38	67	3835081	8.37
19050	976	30	57	963677	2.01
19839	889	28	24	98262	0.17
11923	1085	42	34	1116739	1.68
8368	1058	42	33	791694	1.33
13331	1026	30	22	31275	0.09
1610	846	26	27	35397	0.11
11966	1156	55	50	4254715	8.73
46049	1062	56	36	4335206	7.25
13937	1110	39	37	1142320	1.81
846	1101	35	51	2765676	4.39
6565	848	33	28	119239	0.26
19852	750	30	28	36656	0.14
3497	1193	58	45	6875755	11.95
38734	905	38	28	237679	0.50
1689	1010	30	47	664739	1.18
2669	1067	37	50	1775466	3.27
37839	1167	44	46	2419798	4.29
13081	1092	37	36	897515	1.41
20294	918	30	40	297071	0.60
45355	966	34	34	404309	0.70
46964	1144	49	53	5994258	11.12
20061	924	26	47	344381	0.67
24906	1099	46	38	2682829	3.94
1751	801	24	23	13132	0.05
